timestamp,MTR01_VIB_RMS_H,MTR01_CURRENT,MTR01_TEMP,HYD01_PRESS_IN,FUR01_TEMP_Z1
2026-03-02 08:00:00,1.8,62.5,48.0,152.0,1180.0
2026-03-02 08:01:00,1.9,63.0,48.0,153.0,1180.0
2026-03-02 08:02:00,1.8,62.0,48.5,152.0,1180.0
2026-03-02 08:03:00,2.0,64.0,48.5,210.0,1180.0
2026-03-02 08:04:00,1.9,63.5,49.0,210.0,1180.0
2026-03-02 08:05:00,1.7,62.5,49.0,210.0,1180.5
2026-03-02 08:06:00,1.9,63.0,49.5,210.0,1180.5
2026-03-02 08:07:00,1.8,62.0,49.5,210.0,1180.5
2026-03-02 08:08:00,2.1,64.5,49.5,210.0,1180.5
2026-03-02 08:09:00,1.8,63.0,50.0,210.0,1180.5
2026-03-02 08:10:00,1.8,62.5,50.0,152.0,1181.0
2026-03-02 08:11:00,1.9,63.0,50.0,153.0,1181.0
2026-03-02 08:12:00,1.8,62.0,50.5,152.0,1181.0
2026-03-02 08:13:00,2.0,64.0,50.5,151.0,1181.0
2026-03-02 08:14:00,1.9,63.5,50.5,153.0,1181.0
2026-03-02 08:15:00,1.7,62.5,50.5,152.0,1181.5
2026-03-02 08:16:00,1.9,63.0,51.0,154.0,1181.5
2026-03-02 08:17:00,1.8,62.0,51.0,152.0,1181.5
2026-03-02 08:18:00,2.1,64.5,51.0,151.0,1181.5
2026-03-02 08:19:00,1.8,63.0,51.0,153.0,1181.5
2026-03-02 08:20:00,1.8,62.5,51.5,152.0,1182.0
2026-03-02 08:21:00,1.9,63.0,51.5,153.0,1182.0
2026-03-02 08:22:00,1.8,62.0,51.5,152.0,1182.0
2026-03-02 08:23:00,2.0,64.0,51.5,151.0,1182.0
2026-03-02 08:24:00,1.9,63.5,51.5,153.0,1182.0
2026-03-02 08:25:00,1.7,62.5,52.0,152.0,1182.5
2026-03-02 08:26:00,1.9,63.0,52.0,154.0,1182.5
2026-03-02 08:27:00,1.8,62.0,52.0,152.0,1182.5
2026-03-02 08:28:00,2.1,64.5,52.0,151.0,1182.5
2026-03-02 08:29:00,1.8,63.0,52.0,153.0,1182.5
2026-03-02 08:30:00,1.8,62.5,52.0,152.0,1183.0
2026-03-02 08:31:00,1.9,63.0,52.5,153.0,1183.0
2026-03-02 08:32:00,1.8,62.0,52.5,152.0,1183.0
2026-03-02 08:33:00,2.0,64.0,52.5,151.0,1183.0
2026-03-02 08:34:00,1.9,63.5,52.5,153.0,1183.0
2026-03-02 08:35:00,1.7,62.5,52.5,152.0,1183.5
2026-03-02 08:36:00,1.9,63.0,52.5,154.0,1183.5
2026-03-02 08:37:00,1.8,62.0,52.5,152.0,1183.5
2026-03-02 08:38:00,2.1,64.5,52.5,151.0,1183.5
2026-03-02 08:39:00,1.8,63.0,52.5,153.0,1183.5
2026-03-02 08:40:00,1.8,62.5,53.0,152.0,1184.0
2026-03-02 08:41:00,1.9,63.0,53.0,153.0,1184.0
2026-03-02 08:42:00,1.8,62.0,53.0,152.0,1184.0
2026-03-02 08:43:00,2.0,64.0,53.0,151.0,1184.0
2026-03-02 08:44:00,1.9,63.5,53.0,153.0,1184.0
2026-03-02 08:45:00,1.7,62.5,53.0,152.0,1184.5
2026-03-02 08:46:00,1.9,63.0,53.0,154.0,1184.5
2026-03-02 08:47:00,1.8,62.0,53.0,152.0,1184.5
2026-03-02 08:48:00,2.1,64.5,53.0,151.0,1184.5
2026-03-02 08:49:00,1.8,63.0,53.0,153.0,1184.5
2026-03-02 08:50:00,1.8,62.5,53.0,152.0,1185.0
2026-03-02 08:51:00,1.9,63.0,53.0,153.0,1185.0
2026-03-02 08:52:00,1.8,62.0,53.5,152.0,1185.0
2026-03-02 08:53:00,2.0,64.0,53.5,151.0,1185.0
2026-03-02 08:54:00,1.9,63.5,53.5,153.0,1185.0
2026-03-02 08:55:00,1.7,62.5,53.5,152.0,1185.5
2026-03-02 08:56:00,1.9,63.0,53.5,154.0,1185.5
2026-03-02 08:57:00,1.8,62.0,53.5,152.0,1185.5
2026-03-02 08:58:00,2.1,64.5,53.5,151.0,1185.5
2026-03-02 08:59:00,1.8,63.0,53.5,153.0,1185.5
2026-03-02 09:00:00,2.1,64.0,53.5,152.0,1186.0
2026-03-02 09:01:00,2.2,64.5,53.5,153.0,1186.0
2026-03-02 09:02:00,2.1,63.5,53.5,152.0,1186.0
2026-03-02 09:03:00,2.3,65.5,53.5,151.0,1186.0
2026-03-02 09:04:00,2.2,65.0,53.5,153.0,1186.0
2026-03-02 09:05:00,2.0,64.0,53.5,152.0,1186.5
2026-03-02 09:06:00,2.2,64.5,53.5,154.0,1186.5
2026-03-02 09:07:00,2.1,63.5,53.5,152.0,1186.5
2026-03-02 09:08:00,2.4,66.0,53.5,151.0,1186.5
2026-03-02 09:09:00,2.1,64.5,53.5,153.0,1186.5
2026-03-02 09:10:00,2.1,64.0,53.5,210.0,1187.0
2026-03-02 09:11:00,2.2,64.5,53.5,210.0,1187.0
2026-03-02 09:12:00,2.1,63.5,53.5,210.0,1187.0
2026-03-02 09:13:00,2.3,65.5,53.5,210.0,1187.0
2026-03-02 09:14:00,2.2,65.0,53.5,210.0,1187.0
2026-03-02 09:15:00,2.0,64.0,53.5,210.0,1187.5
2026-03-02 09:16:00,2.2,64.5,53.5,210.0,1187.5
2026-03-02 09:17:00,2.1,63.5,53.5,152.0,1187.5
2026-03-02 09:18:00,2.4,66.0,53.5,151.0,1187.5
2026-03-02 09:19:00,2.1,64.5,53.5,153.0,1187.5
2026-03-02 09:20:00,2.1,64.0,54.0,152.0,1188.0
2026-03-02 09:21:00,2.2,64.5,54.0,153.0,1188.0
2026-03-02 09:22:00,2.1,63.5,54.0,152.0,1188.0
2026-03-02 09:23:00,2.3,65.5,54.0,151.0,1188.0
2026-03-02 09:24:00,2.2,65.0,54.0,153.0,1188.0
2026-03-02 09:25:00,2.0,64.0,54.0,152.0,1188.5
2026-03-02 09:26:00,2.2,64.5,54.0,154.0,1188.5
2026-03-02 09:27:00,2.1,63.5,54.0,152.0,1188.5
2026-03-02 09:28:00,2.4,66.0,54.0,151.0,1188.5
2026-03-02 09:29:00,2.1,64.5,54.0,153.0,1188.5
2026-03-02 09:30:00,2.1,64.0,54.0,152.0,1189.0
2026-03-02 09:31:00,2.2,64.5,54.0,153.0,1189.0
2026-03-02 09:32:00,2.1,63.5,54.0,152.0,1189.0
2026-03-02 09:33:00,2.3,65.5,54.0,151.0,1189.0
2026-03-02 09:34:00,2.2,65.0,54.0,153.0,1189.0
2026-03-02 09:35:00,2.0,64.0,54.0,152.0,1189.5
2026-03-02 09:36:00,2.2,64.5,54.0,154.0,1189.5
2026-03-02 09:37:00,2.1,63.5,54.0,152.0,1189.5
2026-03-02 09:38:00,2.4,66.0,54.0,151.0,1189.5
2026-03-02 09:39:00,2.1,64.5,54.0,153.0,1189.5
