timestamp,blast_flow_nm3min,blast_pressure_kpa,top_pressure_kpa,hot_blast_temp_c,blower_vib_mms
2026-03-02 06:00:00,5213.5,381.2,214.0,1182.0,3.46
2026-03-02 06:01:00,5155.1,383.0,210.2,1184.3,3.36
2026-03-02 06:02:00,5189.5,379.0,209.2,1184.8,3.43
2026-03-02 06:03:00,5229.3,377.5,207.3,1179.1,3.44
2026-03-02 06:04:00,5201.2,379.2,214.7,1177.9,3.55
2026-03-02 06:05:00,5204.6,378.6,208.8,1180.2,3.45
2026-03-02 06:06:00,5192.4,378.5,208.9,1178.5,3.49
2026-03-02 06:07:00,5213.0,379.3,209.1,1177.5,3.33
2026-03-02 06:08:00,5190.2,376.4,210.0,1177.9,3.37
2026-03-02 06:09:00,5195.6,378.3,213.1,1184.1,3.43
2026-03-02 06:10:00,5213.7,378.3,205.9,1175.5,3.45
2026-03-02 06:11:00,5217.6,378.9,213.2,1180.1,3.44
2026-03-02 06:12:00,5211.9,381.7,210.6,1179.9,3.38
2026-03-02 06:13:00,5181.5,380.5,210.9,1187.6,3.32
2026-03-02 06:14:00,5213.0,380.3,211.5,1170.6,3.57
2026-03-02 06:15:00,5197.6,381.9,208.8,1179.4,3.49
2026-03-02 06:16:00,5232.2,380.4,209.4,1178.9,3.53
2026-03-02 06:17:00,5185.9,380.3,207.5,1180.5,3.5
2026-03-02 06:18:00,5218.7,378.4,208.2,1182.4,3.32
2026-03-02 06:19:00,5210.7,377.9,210.0,1177.7,3.34
2026-03-02 06:20:00,5199.7,380.0,211.2,1180.7,3.25
2026-03-02 06:21:00,5231.1,382.1,210.8,1176.7,3.47
2026-03-02 06:22:00,5172.3,377.3,209.0,1176.6,3.45
2026-03-02 06:23:00,5190.8,376.8,212.1,1181.1,3.44
2026-03-02 06:24:00,5218.7,380.3,209.8,1183.2,3.25
2026-03-02 06:25:00,5192.2,382.1,209.2,1173.2,3.45
2026-03-02 06:26:00,5201.8,379.7,210.5,1179.5,3.38
2026-03-02 06:27:00,5216.1,381.5,209.8,1178.6,3.36
